"","Return","rsi","sma","lma","adx"
"738","Up",53.9,162.7,158.2,26.9
"739","Up",58.8,163.7,158.4,26.1
"740","Up",59.5,164.6,158.6,25.6
"741","Up",57.6,165.4,158.7,24.9
"742","Up",75.4,166.2,158.9,25.5
"743","Up",83.1,167.3,159.2,26.7
"744","Down",86.6,168.5,159.6,28.5
"745","Up",78.3,169.3,159.9,29.8
"746","Down",81.2,170.2,160.2,31
"747","Down",76.1,171,160.5,32.2
"748","Down",69.8,171.6,160.8,32.3
"749","Up",62.4,172.2,161.1,32.1
"750","Down",62.3,172.8,161.4,31.9
"751","Up",54.9,173.4,161.9,31.1
"752","Down",67.2,174.1,162.7,31.1
"753","Down",62,174.8,163.3,31.1
"754","Up",47.3,175.2,163.8,30
"755","Up",50.3,175.6,164.4,28.6
"756","Up",50.5,176,164.9,27.7
"757","Down",47.3,176.6,165.5,27
"758","Down",39.6,177.1,165.9,25.5
"759","Down",34.6,177.4,166.3,24.3
"760","Up",23.9,177.5,166.6,23.8
"761","Up",41.8,177.8,167,23.5
"762","Down",41.6,177.8,167.4,22.8
"763","Down",34.9,177.5,167.9,22.7
"764","Up",25.2,176.7,168.3,23.6
"765","Down",60.4,176.9,169,22.2
"766","Down",56.1,176.8,169.7,20.8
"767","Up",50.9,176.6,170.3,19.6
"768","Up",50.5,176.4,170.9,18.9
"769","Up",50.9,176.4,171.4,17.9
"770","Down",49.8,176.3,171.9,17.1
"771","Up",44,176.1,172.3,17
"772","Up",42.6,175.6,172.6,16.9
"773","Down",43.3,175.2,172.9,17.1
"774","Up",37.4,174.9,173.2,17.4
"775","Down",34.7,174.5,173.3,17.9
"776","Up",30.3,174,173.4,18.5
"777","Up",32.8,173.6,173.5,19.1
"778","Up",43.7,173.4,173.6,19.1
"779","Down",46.2,173.3,173.7,18.3
"780","Up",30.2,173.2,173.8,18.6
"781","Down",43,173,173.9,19
"782","Down",38.5,172.7,174,19.2
"783","Up",30.3,172.4,174,19.9
"784","Down",39,172.4,173.9,20.6
"785","Up",23.6,171.2,173.7,22.8
"786","Down",22.9,170.1,173.4,24.8
"787","Up",20.8,169.1,173.2,26.9
